model_name,lang,split,n,bleu_sentence,rougeL_f1,meteor,chrfpp,bertscore_precision,bertscore_recall,bertscore_f1,bert_cosine,e5_cosine,expansion_ratio,expansion_abs_distance_from_1,bleu_corpus
HuggingFaceTB__SmolLM3-3B__EN-backtrans-from-CA__EN-backtrans-from-CA,en,test,1779,0.5210943618999099,0.6765129346765291,0.6648590846180811,0.707602904031528,0.9068257999326353,0.9022775534634646,0.9043976979821233,0.926549304463074,0.9183408438388788,0.9756530414187253,0.06508967881269459,0.5290420042823823
HuggingFaceTB__SmolLM3-3B__EN-backtrans-from-CA__EN-backtrans-from-CA,en_bt,test,1779,0.5616668390459271,0.6940759308611819,0.6891217961579447,0.727432563067067,0.9106010419388311,0.9085836662811936,0.9094371582900225,0.9295975594724276,0.9185816766238736,0.9826570881139713,0.06349670930360825,0.5741447080737803
HuggingFaceTB__SmolLM3-3B__EN-backtrans-from-CA__EN-backtrans-from-CA,es,test,1779,0.23634634864957998,0.4221849647189317,0.34992187261985563,0.48084066836696704,0.86424479476517,0.8599310589680985,0.861923488255898,0.8348662754737507,0.9031545047749289,0.9702585337360917,0.0869354346637225,0.26489645762498387
HuggingFaceTB__SmolLM3-3B__EN-gold__EN-gold,ca,test,1779,0.12811920305218294,0.31354673369213737,0.23464720193419342,0.3930827173737758,0.8335191357866173,0.8178061144682984,0.8253415173329015,0.7538665769273073,0.8925683031998839,0.969113979214744,0.0937188239845036,0.14046888400914745
HuggingFaceTB__SmolLM3-3B__EN-gold__EN-gold,en,test,1779,0.5297657815551186,0.6766042358229393,0.6730366555164449,0.7098163294177696,0.9058816087185633,0.9017637304002613,0.9036796017601759,0.9253069751044215,0.9187973783617948,0.9833136792962676,0.06726688291910544,0.5416039757189546
HuggingFaceTB__SmolLM3-3B__EN-gold__EN-gold,en_bt,test,1779,0.5086821339654183,0.6682067411517915,0.6673210881263553,0.7028288723196517,0.9027364802802795,0.9008893790105678,0.901663898617582,0.922849563080786,0.9182505552992518,0.9896975155435193,0.06859931464862613,0.5207683438279275
HuggingFaceTB__SmolLM3-3B__EN-gold__EN-gold,es,test,1779,0.24341164223081552,0.424703016572837,0.3564247588577627,0.4864611459181642,0.864471181783199,0.8604434795631594,0.8622812824747815,0.8383567069540404,0.9042945325609135,0.9719938498206886,0.08780021284538403,0.2756479390726184
HuggingFaceTB__SmolLM3-3B__ES-silver-filtered__ES-silver-filtered,ca,test,1779,0.05706405845386299,0.19175305147443972,0.22991765464215694,0.30977081391115724,0.6584206302223613,0.751537967793656,0.7007944114158635,0.6414879937062041,0.8975494254365807,4.208382287875664,3.2179637698525543,0.04551099182389476
HuggingFaceTB__SmolLM3-3B__ES-silver-filtered__ES-silver-filtered,en,test,1779,0.10804512776772325,0.2392229920222524,0.42464686514329614,0.4053765457217469,0.635889419013694,0.7761197109581581,0.698471068665846,0.6678834120968609,0.9107651815379584,5.273631436469109,4.274187873889033,0.11065652112663531
HuggingFaceTB__SmolLM3-3B__ES-silver-filtered__ES-silver-filtered,en_bt,test,1779,0.10659364562957771,0.2380366737671989,0.4230842021278042,0.4014736347421528,0.6342746161757861,0.7761375448085941,0.6975088323549717,0.6652934221386441,0.9097059643489716,5.380841305850669,4.381507866279734,0.10891174777081236
HuggingFaceTB__SmolLM3-3B__ES-silver-filtered__ES-silver-filtered,es,test,1779,0.2535911579608241,0.38798750339067156,0.4635370341768695,0.4983577870893742,0.735108371059703,0.8183674188461647,0.7730999541054823,0.7613065974674846,0.9107936815708926,3.2211575541251207,2.241407794431783,0.1575618277380338
HuggingFaceTB__SmolLM3-3B__ES-silver__ES-silver,ca,test,1779,0.162369877661669,0.4018051235500726,0.3338072042870867,0.4631190892068784,0.8644775672197476,0.8516369980664117,0.8578109906053463,0.7953965279947445,0.9140577262676854,0.9838906693285466,0.0855803260855911,0.17820332864171656
HuggingFaceTB__SmolLM3-3B__ES-silver__ES-silver,en,test,1779,0.14281089434234615,0.3220346266996369,0.2517574669759239,0.4134822198632083,0.8536234775106849,0.8590400299374611,0.8561572994389783,0.7822975954894205,0.9001456762445716,0.9996134887278246,0.08025110046296688,0.15617274314740862
HuggingFaceTB__SmolLM3-3B__ES-silver__ES-silver,en_bt,test,1779,0.14413370951477314,0.3249297424874806,0.2573255812919712,0.41550410776585817,0.8562954779151051,0.8637707257552252,0.85985126814995,0.7843853031871961,0.9002919758619252,1.0078900523781598,0.08239806768943768,0.15637097466272748
HuggingFaceTB__SmolLM3-3B__ES-silver__ES-silver,es,test,1779,0.513209293421126,0.6441516367937821,0.6366865554869469,0.6848310102938767,0.8989364092037744,0.8969686397881639,0.8977995600976456,0.9239625148789276,0.9305666718608948,0.9881270193956629,0.06877150134202756,0.5345061278991338
Qwen/Qwen3-4B-Instruct-2507,ca,test,1779,0.36345768416163626,0.5608109289819789,0.537969334869798,0.6069036228686774,0.8638340781216142,0.8761492730728222,0.869731209162851,0.9032936633269796,0.9356253999816762,1.02444759763814,0.08793447164498269,0.36976294346039823
Qwen/Qwen3-4B-Instruct-2507,en,test,1779,0.4838944824649228,0.65494537802759,0.6567834283043168,0.6977844000807765,0.890689398948901,0.8997380201437287,0.8950187263025066,0.9227502403666693,0.9184814953549382,1.0229190878121495,0.07362454487095385,0.4762737595177126
Qwen/Qwen3-4B-Instruct-2507,en_bt,test,1779,0.48245601477529015,0.6575028535340621,0.662959335684842,0.6977869522720384,0.8915060290866785,0.9029657876578658,0.8970227714935805,0.9233868986518949,0.918099502588404,1.032315346022936,0.07898592420931193,0.4753460798036857
Qwen/Qwen3-4B-Instruct-2507,es,test,1779,0.403816641985742,0.5854393291717103,0.5782829693402652,0.6325172982790991,0.8763630984873501,0.8861875612458331,0.8810822323442109,0.9118689505017963,0.9271299305626889,1.0435837345924497,0.08932140717890931,0.40095668314928223
Qwen__Qwen3-4B-Instruct-2507__CA-silver-filtered_10__CA-silver-filtered,ca,test,1779,0.5128404097131339,0.6443564399326519,0.633664651167603,0.6812035497042325,0.8952686602041385,0.8909868074642802,0.8929358448387198,0.9183643441511179,0.9376699112318017,0.9774421227363096,0.06665246650873971,0.5225621326925619
Qwen__Qwen3-4B-Instruct-2507__CA-silver-filtered_10__CA-silver-filtered,en,test,1779,0.5155954099438257,0.6792186673673006,0.6504246517420988,0.7009531560644237,0.9059832119553058,0.9025642217512275,0.9041230670182205,0.9277215794675333,0.9173895192655571,0.9659397583763383,0.06706758362815195,0.5140390532270126
Qwen__Qwen3-4B-Instruct-2507__CA-silver-filtered_10__CA-silver-filtered,en_bt,test,1779,0.5222330507188944,0.6851212171859651,0.6604162426781149,0.7080182784704496,0.9071680682974629,0.9059836931480593,0.9064230536597039,0.9294016274459714,0.9173213468300218,0.9728302527491605,0.0664387487484751,0.525018716952245
Qwen__Qwen3-4B-Instruct-2507__CA-silver-filtered_10__CA-silver-filtered,es,test,1779,0.420881155552903,0.6005558073186784,0.5673291157350135,0.6313336353001479,0.8852586586398982,0.8848820103226651,0.8849207258010058,0.9117523178148297,0.926648157141462,0.9867392837910747,0.07407594195649662,0.4287636239068571
Qwen__Qwen3-4B-Instruct-2507__CA-silver-filtered__CA-silver-filtered,ca,test,1779,0.5128404097131339,0.6443564399326519,0.633664651167603,0.6812035497042325,0.8952686602041385,0.8909868074642802,0.8929358448387198,0.9183643441511179,0.9376699112318017,0.9774421227363096,0.06665246650873971,0.5225621326925619
Qwen__Qwen3-4B-Instruct-2507__CA-silver-filtered__CA-silver-filtered,en,test,1779,0.5155954099438257,0.6792186673673006,0.6504246517420988,0.7009531560644237,0.9059832119553058,0.9025642217512275,0.9041230670182205,0.9277215794675333,0.9173895192655571,0.9659397583763383,0.06706758362815195,0.5140390532270126
Qwen__Qwen3-4B-Instruct-2507__CA-silver-filtered__CA-silver-filtered,en_bt,test,1779,0.5222330507188944,0.6851212171859651,0.6604162426781149,0.7080182784704496,0.9071680682974629,0.9059836931480593,0.9064230536597039,0.9294016274459714,0.9173213468300218,0.9728302527491605,0.0664387487484751,0.525018716952245
Qwen__Qwen3-4B-Instruct-2507__CA-silver-filtered__CA-silver-filtered,es,test,1779,0.420881155552903,0.6005558073186784,0.5673291157350135,0.6313336353001479,0.8852586586398982,0.8848820103226651,0.8849207258010058,0.9117523178148297,0.926648157141462,0.9867392837910747,0.07407594195649662,0.4287636239068571
Qwen__Qwen3-4B-Instruct-2507__CA-silver__CA-silver,ca,test,1779,0.5148453135553761,0.6465479663048267,0.6377010212247177,0.684309809187678,0.8964861577116016,0.8924176785770328,0.8942639027303896,0.9200096004058833,0.9384062939845423,0.9797502768334322,0.0667740143084938,0.5233659080543775
Qwen__Qwen3-4B-Instruct-2507__CA-silver__CA-silver,en,test,1779,0.5136445050853606,0.6751731531796942,0.6475225153510461,0.7003200786123042,0.9046941846525354,0.9015233648701154,0.9029488515961096,0.9266577126136852,0.9170808383693448,0.9666805398682188,0.06916063772080341,0.5147650582147653
Qwen__Qwen3-4B-Instruct-2507__CA-silver__CA-silver,en_bt,test,1779,0.516536287641181,0.6804254698625535,0.6570858922375471,0.706805491132455,0.9059540710803027,0.9046585756516845,0.9051429605872662,0.9284102496570118,0.9169412153098206,0.9747860405044835,0.06963584283254265,0.520679392447764
Qwen__Qwen3-4B-Instruct-2507__CA-silver__CA-silver,es,test,1779,0.42388400785535946,0.6015827633483457,0.5729393070297549,0.6354190870596657,0.8853626440856617,0.8861570422940204,0.8856059694772627,0.9127708718708354,0.9271496300150532,0.9879086749992902,0.07354973834758004,0.4323272548069854
Qwen__Qwen3-4B-Instruct-2507__EN-backtrans-from-CA__EN-backtrans-from-CA,ca,test,1779,0.2811034798786854,0.47445631052000703,0.4100279926681158,0.5244431329628757,0.8601704609735821,0.8539935684793782,0.8568361103702221,0.8435066363964274,0.9164069180343847,0.968805126540174,0.07973024170183972,0.3062679393518079
